,Area,Total_dwellings_2016,Train_2016,pop_2016,LUM,LUMquintile,TrainDistThresh,TrainPres,BusDistThresh,BusPres,AccUtDestPres,AccUtDestPresquintile,AccUtDestDist,AccUtDestDistquintile,SprtLeiDens,SprtLeiDensquintile,SprtLeiDist,SprtLeiDistquintile,POSDist,POSDistquintile,POSAreaPct,POSAreaPctquintile,TakeawayDens,TakeawayDensquintile,TakeawayDist,TakeawayDistquintile,HealthyFoodDensity,HealthyFoodDensityquintile,HealthyFoodDist,HealthyFoodDistquintile,GrossDwlDens,GrossDwlDensquintile,StrtConn,StrtConnquintile,ActCenDist,ActCenDistquintile,TobPopDensp1000,TobPopDensp1000quintile,TobTobVendDist,TobTobVendDistquintile,RatioTrailsToRoads,RatioTrailsToRoadsquintile
0,Balliang,106,0,290,0.000145826,1,0,0,0,0,1,1,0,1,0.0,1,26140.12692,5,1711.468932,5,0.222162792,4,0.0,1,23445.162640000002,5,0.0,1,24994.534480000002,5,0.007524527,1,0.983318916,1,32549.5287,5,0.0,1,18751.68283,5,0.038605499,1
1,Highton,7547,192,18953,0.386139379,3,0,0,1,1,6,4,4,4,0.008631878,2,1681.611727,2,217.11884869999997,2,0.166303758,4,0.10358254,3,1141.854025,3,0.017263757,2,1463.441728,3,5.802167722999999,4,40.65159111,4,6272.131139,2,0.480048005,2,1019.6183880000001,3,0.12190052900000001,2
2,Thomson/Breakwater,1433,11,2621,0.45042992299999995,4,1,0,1,1,2,2,6,2,0.090396015,5,1166.3800039999999,2,138.2614252,1,0.307800705,5,0.36158406200000004,5,465.8536804,1,0.0,1,1608.507807,3,2.291587264,3,34.39109092,4,3946.259849,1,5.7892705520000005,5,433.9333025,1,0.22285225399999997,4
3,Anakie,271,5,690,0.000120424,1,0,0,0,0,2,2,0,2,0.0,1,21560.13364,5,2682.871535,5,0.004769081,1,0.0,1,16310.61926,5,0.0,1,18311.6785,5,0.015401027,1,0.567092079,1,25884.481330000002,5,0.0,1,14757.09296,5,0.0,1
4,Mount Duneed,587,25,1578,0.140498297,2,0,0,0,1,2,2,1,2,0.0,1,6520.56403,5,923.2610445,5,0.01481934,1,0.0,1,4379.5014280000005,4,0.0,1,4362.59463,4,0.066460084,2,2.00250909,1,11497.80289,4,0.0,1,4362.59463,5,0.09061678199999999,2
5,Wandana Heights,736,20,2037,0.41461013,4,0,0,0,1,2,2,2,2,0.0,1,2412.145401,3,184.85832580000002,1,0.088619136,1,0.0,1,2327.635718,4,0.0,1,2306.150057,3,4.0900746880000005,4,29.47801577,3,6702.915589,2,0.0,1,2033.601867,4,0.046827451,2
6,Barwon Heads,2226,49,3875,0.542890346,5,0,0,1,1,6,4,5,4,0.0,1,4927.240811,4,158.27607949999998,1,0.554617535,5,0.11473532300000001,4,717.3337387,2,0.028683831,2,1326.723488,2,3.978732129,4,31.72020693,3,23115.53276,5,1.413227812,3,696.377342,2,0.292692613,5
7,City/Drum/Sth Geelong,479,36,993,0.8475458709999999,5,1,1,1,1,7,5,7,5,0.037317509,4,965.3443082999999,1,229.9753429,2,0.14260005,4,0.621958479,5,369.506218,1,0.024878339,2,956.2746678999999,2,7.481206563,5,113.2659854,5,1663.495404,1,9.479434447000001,5,316.1791847,1,0.17203757,3
8,Drysdale,4275,0,1858,0.213629758,2,1,1,1,1,6,4,6,4,0.03566556,4,1371.957516,2,295.56050719999996,3,0.024916969,1,0.106996679,3,991.7744379000001,3,0.01188852,2,1368.527751,2,0.428610347,2,5.672784002,2,20319.72924,4,1.617749018,4,999.4898927999999,3,0.138250276,3
9,Clifton Springs,3412,66,7521,0.418635803,4,0,0,1,1,2,2,2,2,0.0,1,2334.8402929999997,3,195.30812769999997,1,0.211762447,4,0.08852821,3,734.8545343999999,2,0.0,1,2681.513753,4,6.138844752000001,4,41.37873213,4,21768.17007,4,0.419932811,2,775.3718252,3,0.06344304,2
10,St Albans Park,2149,47,4846,0.133935008,2,0,0,1,1,2,2,2,2,0.0,1,1948.1085059999998,3,242.31470290000001,2,0.049040654,1,0.039778978,2,844.9388845000001,3,0.0,1,2430.582007,3,9.828607591,5,54.20364362,5,6505.646796,2,0.2027164,2,839.8501413999999,3,0.031002017000000003,1
11,Curlewis (Vic.),618,8,1551,0.218661312,3,0,0,0,1,1,1,0,1,0.0,1,5648.705,4,315.6647897,3,0.062760028,1,0.0,1,4651.538184,5,0.0,1,5275.631700999999,5,0.057741287,2,4.157372689,2,17524.7685,4,4.444444444,5,2888.923238,4,0.267464023,5
12,Hamlyn Heights,2842,101,6292,0.307938454,3,0,0,1,1,3,2,4,3,0.0,1,1967.15597,3,295.4103463,3,0.103317439,4,0.056174145999999994,3,721.5471177000001,2,0.028087072999999997,2,932.8196312000001,2,9.638755767000001,5,57.58778651,5,4325.191244,1,0.329326527,2,669.3418987000001,2,0.157551089,3
13,Marcus Hill,68,0,159,0.391454591,3,0,0,1,1,2,2,1,2,0.0,1,2756.675409,3,662.5835,4,0.07212908900000001,1,0.052660672,2,1960.876252,4,0.0,1,3240.482013,4,0.039792557,1,3.7208624410000004,2,23135.67494,5,11.04972376,5,2025.788123,4,0.398211146,5
14,Ceres,89,3,254,0.0,1,0,0,0,0,0,1,0,1,0.0,1,5734.185379,4,900.7222039999999,5,0.011667928999999999,1,0.0,1,5544.01684,5,0.0,1,5577.901822999999,5,0.07321372799999999,2,2.73545796,1,8282.352266,3,0.0,1,5310.662042,5,0.10064376,2
15,Herne Hill,1749,27,3413,0.399802371,3,0,0,1,1,3,2,4,3,0.0,1,1665.0260529999998,2,213.2463755,2,0.12342606199999999,4,0.31733207399999996,5,433.4788046,1,0.0,1,1526.5381539999998,3,11.31588913,5,63.97675835,5,3908.636859,1,1.203007519,3,442.8184984,1,0.222255703,4
16,Manifold Heights,1181,42,2649,0.188262116,2,1,0,1,1,3,2,7,3,0.072114522,5,684.8111576,1,317.1240923,3,0.016929688000000002,1,0.072114522,3,324.776829,1,0.072114522,5,578.467689,1,11.86933222,5,74.71701939,5,2775.464709,1,0.384172109,2,407.91711139999995,1,0.006321343,1
17,Breamlea,113,2,162,0.040144734,1,0,0,0,1,3,2,1,3,0.0,1,9871.009855,5,186.6770536,1,0.582522665,5,0.06388698,3,4436.6264,4,0.0,1,6209.626633,5,0.069636885,2,1.635599425,1,20041.557569999997,4,2.252252252,4,1708.7440609999999,4,0.5157238439999999,5
18,Moorabool,37,0,90,0.027620726,1,0,0,0,0,1,1,0,1,0.0,1,6152.082272,4,2143.302225,5,0.0014749829999999998,1,0.025426393,2,3780.604601,4,0.025426393,2,4320.535296999999,4,0.015722062,1,0.8202814970000001,1,10976.57883,3,0.0,1,4948.392657,5,0.0,1
19,Leopold,5219,107,12814,0.318900425,3,0,0,1,1,5,3,3,4,0.0,1,6613.058659,5,241.5395642,2,0.035066942000000004,1,0.088330768,3,744.2108958,2,0.01962906,2,1179.752468,2,1.45067135,3,13.10329995,3,11553.166879999999,4,0.7903576370000001,2,793.5022202,3,0.17338627399999998,4
20,Batesford,295,7,952,0.39053797700000004,3,0,0,0,1,2,2,2,2,0.0,1,5173.54393,4,962.8870155999999,5,0.008104883,1,0.053524367,3,1311.253129,3,0.0,1,4340.933981,4,0.25236764100000003,2,3.589712128,2,8868.561512,3,2.7100271,4,508.56634979999995,1,0.044317755,1
21,Wallington,468,0,1364,0.113654506,1,0,0,1,1,3,2,1,3,0.023180397999999998,3,3235.331181,4,869.4269658,4,0.18523198,4,0.046360797,2,1932.4542649999999,4,0.023180397999999998,2,2503.5533010000004,3,0.11959912800000001,2,3.47827441,2,18305.76432,4,1.5503875969999998,3,2600.224816,4,0.048704262000000005,2
22,Point Lonsdale,2390,0,2684,0.487151995,4,0,0,1,1,2,2,1,2,0.0,1,5021.459845,4,136.862113,1,0.008054826,1,0.0,1,6670.948315,5,0.0,1,6670.948315,5,6.569043781,4,52.52900402,5,28127.45216,5,0.0,1,2022.316206,4,0.0,1
23,Bell Park,2389,77,5013,0.543159838,5,1,0,1,1,4,2,6,3,0.032628872999999996,3,1121.616791,1,192.28011419999999,1,0.066116375,1,0.261030986,5,742.7456718999999,2,0.130515493,5,612.0315132999999,1,6.863578223999999,5,48.6323056,4,5604.9347259999995,2,1.513431706,3,613.8343981,2,0.28406702699999997,5
24,Portarlington,2786,28,3619,0.156688844,2,0,0,1,1,5,3,4,4,0.007594211,2,2112.325213,3,330.3357547,4,0.055974759000000006,1,0.045565267,2,1595.840377,3,0.022782632999999997,2,1501.996151,3,0.442741486,2,6.024240108,3,29756.771230000002,5,1.6713091919999998,4,1168.516025,3,0.056918373,2
25,Whittington,1839,35,3879,0.40349009399999997,4,0,0,1,1,2,2,6,2,0.053612189000000005,5,1088.600332,1,143.4058595,1,0.331427277,5,0.10722437900000001,4,644.6992835,2,0.0,1,1362.5049199999999,2,9.929678147999999,5,51.94490221,5,5407.438632,2,0.37313432799999996,2,706.5108443,2,0.495891397,5
26,Mannerim,45,0,88,0.127446237,1,0,0,0,1,1,1,1,1,0.0,1,6398.101494,4,1102.144601,5,0.063944044,1,0.0,1,7341.627931,5,0.0,1,7562.369068999999,5,0.019819154,1,1.5970774369999998,1,26009.99958,5,5.263157895,5,5737.229483,5,0.211489785,4
27,Newcomb/Moolap,2917,42,5873,0.20968926699999998,2,0,0,1,1,5,3,4,4,0.020258029,3,1400.55132,2,324.85490319999997,4,0.425467107,5,0.16206423,4,769.4486508,3,0.050645072,2,1366.0979849999999,2,0.676010839,3,7.134545534,3,5267.718643,2,2.670940171,4,746.2430787000001,2,0.135686955,3
28,Belmont,6674,231,14048,0.570020492,5,0,0,1,1,7,5,6,5,0.040126166,4,1006.810725,1,305.00712769999996,3,0.27630239100000004,5,0.270851623,5,556.7799579,1,0.06018925,5,873.5086723999999,1,7.026936577000001,5,48.98790839,4,4848.377607,2,1.4655235580000001,3,538.4980998,2,0.309019742,5
29,Avalon (Vic.),109,0,293,0.0016972220000000002,1,0,0,0,0,1,1,0,1,0.0,1,6606.200194,5,1202.328099,5,0.095563165,1,0.0,1,5390.170697,5,0.01324149,2,6612.5619719999995,5,0.013934315,1,1.927086139,1,8849.593339000001,3,6.578947368,5,5703.6755570000005,5,0.049239640999999994,2
30,Connewarre,329,0,788,0.068886179,1,0,0,0,1,1,1,0,1,0.0,1,9419.418814,5,650.3180207,4,0.115040665,4,0.0,1,5779.571522,5,0.0,1,7863.143727,5,0.031843777999999996,1,2.388283319,1,12872.055629999999,4,0.0,1,6578.352779,5,0.20804346899999998,4
31,Ocean Grove,7391,167,14161,0.522952557,5,0,0,1,1,7,5,6,5,0.01808908,3,1491.2523720000002,2,223.50985269999998,2,0.237994548,5,0.189935341,4,709.8278329,2,0.02713362,2,1171.305653,2,5.428165535,4,40.42865348,4,23522.6012,5,1.11411746,3,724.3537083,2,0.106208466,2
32,East Geelong,1832,117,3865,0.615407044,5,1,0,1,1,4,2,6,3,0.0,1,927.5730491,1,369.2742859,4,0.37345994899999996,5,0.143162104,4,337.8028208,1,0.047720701,2,839.6701331,1,6.16137137,4,62.36760787,5,2701.234902,1,1.554806945,3,336.3084675,1,0.151095311,3
33,Waurn Ponds,1448,43,5046,0.245582998,3,0,0,0,1,3,2,0,3,0.014134658999999999,2,2137.7843199999998,3,527.5502148,4,0.00566142,1,0.042403977,2,1822.271536,4,0.0,1,3016.184906,4,0.324107795,2,5.0021409960000005,2,7143.010736,3,3.076923077,5,1831.7489859999998,4,0.145048686,3
34,Norlane/North Shore,4340,44,8663,0.65877788,5,1,1,1,1,7,5,7,5,0.042402762000000004,4,1246.645444,2,239.9226042,2,0.096396911,1,0.310953589,5,435.9403598,1,0.07067127,5,676.8017551,1,6.1150612120000005,4,44.87266577,4,6724.783286,3,2.269469661,4,405.31949860000003,1,0.18797275800000002,4
35,Bell Post Hill,2171,64,4914,0.41768199799999994,4,0,0,1,1,4,2,4,3,0.0,1,1546.179119,2,248.7967971,3,0.049179373,1,0.048314378,2,697.3421897000001,2,0.024157189,2,706.6923015,1,3.5599128689999997,3,19.40275836,3,6247.54509,2,0.19952114899999998,2,844.4011718,3,0.18942921100000001,4
36,Newtown,4540,242,10148,0.523752306,5,1,0,1,1,5,3,7,4,0.05987919,5,1106.359078,1,264.05964500000005,3,0.213785243,4,0.20957716399999998,5,488.9182478999999,1,0.029939595,2,904.0459880000001,1,7.579489569,5,54.04055205,5,2691.2188850000002,1,1.856435644,4,398.5985958,1,0.141187177,3
37,Little River (Vic.),495,22,1322,0.034904372,1,0,1,0,0,3,2,1,3,0.0,1,11035.73558,5,1761.4635239999998,5,0.087691201,1,0.0,1,7238.39833,5,0.0,1,9442.934925,5,0.021234358999999998,1,1.490651986,1,11609.05438,4,0.0,1,9174.590991,5,0.0,1
38,Lovely Banks,824,0,2301,0.147937201,2,0,0,0,1,1,1,0,1,0.0,1,2228.356096,3,425.7892365,4,0.02689432,1,0.0,1,1842.5270600000001,4,0.0,1,2087.5917059999997,3,0.687323775,3,7.917273868,3,7104.3376180000005,3,0.451059991,2,1195.571618,4,0.24539713,5
39,NthGeelong/Rippleside,1594,65,3841,0.366359775,3,1,1,1,1,5,3,5,4,0.080946239,5,739.1273167,1,222.5486602,2,0.101578906,1,0.202365598,4,478.6538176,1,0.06070968,5,881.6079979,1,2.28759698,3,35.27360422,4,3146.363437,1,3.180212014,5,483.66737930000005,1,0.229948105,5
40,Corio,6200,108,15292,0.503964387,4,0,1,1,1,6,4,5,4,0.007470628000000001,2,1826.441398,2,159.051509,1,0.140103051,4,0.194236335,4,696.2441094,2,0.029882513,2,1168.566362,2,3.1764971539999998,3,27.05084727,3,7262.991040000001,3,1.595320394,4,534.8443187,2,0.157991764,3
41,StLeonards/IndentedHd,3506,18,3639,0.486351259,4,0,0,1,1,5,3,2,4,0.0,1,9168.557915000001,5,165.31605980000003,1,0.34253926700000004,5,0.048549866,2,1433.696905,3,0.016183289,2,2530.445737,4,3.27564219,3,28.39791419,3,33733.80603,5,1.367521368,3,1227.059939,4,0.07519293099999999,2
42,Fyansford,110,3,196,0.134852788,2,0,0,0,1,1,1,1,1,0.0,1,4026.356386,4,615.8166396,4,0.038952908,1,0.0,1,2463.162922,4,0.0,1,3512.7230090000003,4,0.03071952,1,2.8261958710000004,2,5762.392085,2,5.319148936,5,838.962287,3,0.45351278,5
43,Lara,5860,540,16358,0.205385536,2,1,1,0,1,7,5,2,5,0.00971095,2,1655.2519439999999,2,491.20237239999994,4,0.059830067,1,0.07768760200000001,3,1362.5766,3,0.019421900000000002,2,2198.6251899999997,3,0.562513025,3,5.859976637999999,2,8640.036685,3,0.5779511629999999,2,1362.216799,4,0.181498913,4
44,Geelong West,3479,152,6966,0.512725515,4,1,0,1,1,7,5,7,5,0.0,1,913.5522487,1,250.55687379999998,3,0.031718385,1,0.485291798,5,341.1283017,1,0.178791715,5,584.1016841,1,13.94074304,5,77.7554397,5,1812.1553379999998,1,2.9967036260000004,4,315.7219952,1,0.025996934,1
45,Grovedale/Marshall,6915,119,16193,0.533333866,5,1,1,1,1,8,5,6,5,0.01901618,3,2094.272727,3,277.66774760000004,3,0.054322076,1,0.13311325699999998,4,846.3802397,3,0.06655662799999999,5,961.2715478,2,3.16840353,3,23.08044976,3,7280.750816,3,0.877357899,3,792.8789632,3,0.166972071,3
